CO_MUNICIPIO_ESC,NU_SEQUENCIAL,NU_ANO,CO_ESCOLA,CO_UF_ESC,TP_DEPENDENCIA_ADM_ESC,TP_LOCALIZACAO_ESC,TP_SIT_FUNC_ESC,CO_MUNICIPIO_PROVA,CO_UF_PROVA,TP_PRESENCA_CN,TP_PRESENCA_CH,TP_PRESENCA_LC,TP_PRESENCA_MT,CO_PROVA_CN,CO_PROVA_CH,CO_PROVA_LC,CO_PROVA_MT,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,TP_LINGUA,TP_STATUS_REDACAO,NU_NOTA_COMP1,NU_NOTA_COMP2,NU_NOTA_COMP3,NU_NOTA_COMP4,NU_NOTA_COMP5,NU_NOTA_REDACAO
3549409.0,2163352.7397959186,2024.0,35688968.196428575,35.0,2.357142857142857,1.0,1.0,3551163.7959183673,35.02040816326531,0.8137755102040817,0.8341836734693877,0.8341836734693877,0.8137755102040817,1420.5741324921137,1384.4954128440368,1396.4648318042814,1408.5741324921137,487.98958990536283,512.0737003058105,528.6571865443425,529.6735015772871,0.3392857142857143,1.1162079510703364,129.48012232415903,160.79510703363914,130.76452599388378,144.70948012232415,141.8960244648318,707.645259938838
3549508.0,1551634.9795918367,2024.0,35023024.0,35.0,2.0,1.0,1.0,3516200.0,35.0,0.46938775510204084,0.5510204081632653,0.5510204081632653,0.46938775510204084,1420.6521739130435,1384.851851851852,1396.7037037037037,1408.6521739130435,443.10869565217394,446.3407407407408,470.4592592592592,437.35652173913047,0.46938775510204084,1.0740740740740742,97.77777777777777,130.37037037037038,93.33333333333333,100.74074074074075,55.55555555555556,477.77777777777777
3549607.0,2934935.153846154,2024.0,35012440.0,35.0,2.0,1.0,1.0,3513405.0,35.0,0.7307692307692307,0.8846153846153846,0.8846153846153846,0.7307692307692307,1420.9473684210527,1384.8260869565217,1396.4347826086957,1408.9473684210527,433.24736842105267,454.0217391304348,448.7217391304348,442.9526315789474,0.23076923076923078,1.3478260869565217,96.52173913043478,109.56521739130434,80.0,93.04347826086956,51.30434782608695,430.4347826086956
3549706.0,1855301.8168674698,2024.0,35151841.9686747,35.0,2.559036144578313,1.0240963855421688,1.0,3549392.1975903613,35.0,0.672289156626506,0.708433734939759,0.708433734939759,0.672289156626506,1420.426523297491,1384.5513698630136,1396.527397260274,1408.426523297491,518.1344086021505,535.9969178082192,544.9407534246576,573.0953405017922,0.3204819277108434,1.0445205479452055,131.0958904109589,156.36986301369862,127.12328767123287,140.75342465753425,128.9041095890411,684.2465753424658
3549805.0,2013058.4110371075,2024.0,35576516.88645734,35.0,2.808119251506502,1.0031715826197272,1.0,3547977.232159848,34.98699651125912,0.7817951157627656,0.8131937836980654,0.8131937836980654,0.7817951157627656,1420.4908499389996,1384.502734375,1396.51015625,1408.4908499389996,524.9921919479464,539.7587890625,548.22390625,575.4644570963807,0.2695845226768157,1.089453125,128.484375,155.609375,128.421875,140.0703125,130.9140625,683.5
3549904.0,2161037.4323546346,2024.0,35264335.25753214,35.0,2.7660717712531184,1.0023028209556708,1.0,3549141.5803108807,34.999040491268474,0.8140472078295913,0.8405296488198043,0.8405296488198043,0.8140472078295913,1420.521216407355,1384.4990813045476,1396.4894350022967,1408.521216407355,528.0214521452145,549.8017225539734,555.0082452916857,587.849528524281,0.2183841872961044,1.0840606338998622,129.3752870923289,155.54892053284337,128.25447864033072,139.12723932016536,128.53927423059255,680.8451998162609
3549953.0,1913138.5959595959,2024.0,35224773.24242424,35.0,2.0,1.0,1.0,3516363.1515151514,34.878787878787875,0.7070707070707071,0.7676767676767676,0.7676767676767676,0.7070707070707071,1420.5142857142857,1384.5,1396.5263157894738,1408.5142857142857,474.00428571428574,510.7894736842105,533.4657894736843,524.9142857142857,0.42424242424242425,1.105263157894737,115.52631578947368,135.26315789473685,108.15789473684211,116.3157894736842,95.78947368421052,571.0526315789474
3550001.0,1729698.177419355,2024.0,35037874.0,35.0,2.0,1.0,1.0,3554040.806451613,35.0,0.7096774193548387,0.7419354838709677,0.7419354838709677,0.7096774193548387,1420.840909090909,1384.5434782608695,1396.4347826086957,1408.840909090909,465.65227272727276,499.0304347826087,506.4413043478261,490.79545454545456,0.3064516129032258,1.2173913043478262,110.0,133.04347826086956,103.91304347826087,113.04347826086956,87.82608695652173,547.8260869565217
3550100.0,1612450.3684210526,2024.0,37212715.1754386,35.0,2.175438596491228,1.2412280701754386,1.0,3545598.8771929825,35.0,0.7631578947368421,0.7850877192982456,0.7850877192982456,0.7631578947368421,1420.5406976744187,1384.4525139664804,1396.4245810055866,1408.5406976744187,495.56569767441863,520.1631284916201,532.2072625698324,532.1703488372093,0.38596491228070173,1.0726256983240223,121.34078212290503,144.80446927374302,115.8659217877095,124.24581005586592,111.1731843575419,617.4301675977654
3550209.0,2119539.6881188117,2024.0,35604777.554455444,35.0,2.128712871287129,1.2128712871287128,1.0,3548902.3465346536,35.0,0.6138613861386139,0.6683168316831684,0.6683168316831684,0.6138613861386139,1420.5483870967741,1384.4962406015038,1396.4586466165413,1408.5483870967741,482.4967741935484,509.50902255639096,522.9300751879699,524.1274193548387,0.4900990099009901,1.0225563909774436,120.90225563909775,142.25563909774436,113.83458646616542,122.85714285714286,99.09774436090225,598.9473684210526
